Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Volume,Taker Buy Quote Volume,Ignore
1737275400000000,27.25,55.22,27.25,47.52,2657545.467,1737275699999999,131174177.7017,133632,1691586.428,83742915.8234,0
1737275700000000,47.58,52.57,47.35,50.76,1465222.827,1737275999999999,72706249.82514,71830,861606.759,42647250.97628,0
1737276000000000,50.76,55.0,50.5,53.67,1300416.653,1737276299999999,67542083.57055,66832,745203.236,38866531.00478,0
1737276300000000,53.74,64.0,53.32,60.02,2368374.518,1737276599999999,139445645.28444,146990,1262756.105,74542340.27975,0
1737276600000000,60.03,60.87,53.8,56.87,1586702.24,1737276899999999,91571280.13647,107936,860712.244,49771913.72516,0
1737276900000000,56.87,59.5,56.55,58.94,1295462.887,1737277199999999,75068450.10507,81343,699678.142,40620564.91869,0
1737277200000000,58.91,62.22,58.86,60.16,1344270.94,1737277499999999,81307400.73959,87117,695206.133,42087388.41394,0
1737277500000000,60.15,68.0,59.8,66.18,1755923.487,1737277799999999,112731042.68211,114612,1137524.834,73059905.40191,0
1737277800000000,66.15,71.88,63.13,71.2,2185785.482,1737278099999999,149334759.17819,137908,1330598.606,91207715.54619,0
1737278100000000,71.05,76.9,69.23,76.37,2373659.853,1737278399999999,173678442.33386,143928,1505308.398,110411371.83597,0
1737278400000000,76.37,77.0,65.79,71.05,1997359.282,1737278699999999,145251530.19665,158151,983770.653,71811637.40477,0
1737278700000000,71.04,73.68,62.17,63.46,1693799.241,1737278999999999,113870926.85255,166436,801830.127,54017258.38387,0
1737279000000000,63.46,66.0,59.25,63.69,2381538.427,1737279299999999,149264710.2548,184332,1138736.092,71935702.86065,0
1737279300000000,63.67,65.79,60.0,60.51,1363844.332,1737279599999999,85089589.3118,128744,696335.905,43611210.25584,0
1737279600000000,60.52,61.0,56.0,60.08,2331630.936,1737279899999999,135890442.7837,155757,981924.871,57458457.36141,0
1737279900000000,60.11,64.71,58.0,64.49,1434238.755,1737280199999999,88003732.85764,103039,806497.679,49566006.10545,0
1737280200000000,64.49,64.49,60.0,61.58,908157.689,1737280499999999,55963839.6225,79414,444766.849,27406049.68874,0
1737280500000000,61.61,64.0,61.18,62.73,782702.627,1737280799999999,49057774.99303,68318,420332.634,26371509.56075,0
1737280800000000,62.77,64.9,62.5,64.76,708936.146,1737281099999999,45296372.86806,67615,418537.37,26759390.57866,0
1737281100000000,64.76,68.67,64.68,66.07,1457687.904,1737281399999999,97231385.93176,109595,751109.942,50054883.03801,0
1737281400000000,66.06,67.3,63.01,65.22,987864.773,1737281699999999,64273167.54148,82827,448140.447,29200336.39136,0
1737281700000000,65.19,67.52,65.07,66.97,846998.796,1737281999999999,56398501.97506,68198,393501.981,26211434.07269,0
1737282000000000,66.97,69.69,66.62,69.66,785180.149,1737282299999999,53636541.5174,69774,428883.102,29316606.98791,0
1737282300000000,69.69,69.74,67.38,68.91,701412.464,1737282599999999,48024870.03876,57559,334690.188,22926634.31155,0
1737282600000000,68.91,69.0,65.0,66.1,708573.458,1737282899999999,47298145.58435,74573,311137.128,20762869.15778,0
1737282900000000,66.1,67.0,61.5,64.05,892110.838,1737283199999999,57480489.35231,80530,397920.951,25730616.07339,0
1737283200000000,64.03,66.15,63.23,65.56,650668.247,1737283499999999,42242513.72018,59520,271450.797,17634430.1041,0
1737283500000000,65.55,66.34,64.0,66.27,533524.745,1737283799999999,34886757.01142,45867,280337.498,18347498.6618,0
1737283800000000,66.28,67.95,65.55,67.17,614260.955,1737284099999999,41233373.1795,57461,307695.676,20652213.60306,0
1737284100000000,67.18,67.72,66.76,67.68,407013.202,1737284399999999,27385063.82821,34363,158047.843,10642183.3186,0
1737284400000000,67.68,69.82,67.67,69.17,674824.665,1737284699999999,46388579.68913,54812,396539.712,27270231.08473,0
1737284700000000,69.16,72.0,69.05,71.92,1036927.528,1737284999999999,73857159.77854,72557,670906.207,47821434.72418,0
1737285000000000,71.92,74.42,69.59,72.59,1109934.339,1737285299999999,80545497.33264,98066,613663.368,44607775.68095,0
1737285300000000,72.55,72.59,68.6,70.66,660720.055,1737285599999999,46516970.12413,69378,256084.353,18064065.58019,0
1737285600000000,70.65,72.38,70.6,71.81,526128.255,1737285899999999,37643018.18306,53578,256882.18,18380871.28483,0
1737285900000000,71.82,73.48,71.73,71.93,580472.324,1737286199999999,42132142.82149,54233,309497.964,22481961.13113,0
1737286200000000,71.95,74.52,71.28,74.12,661116.46,1737286499999999,48570032.37667,60818,364067.587,26761446.91323,0
1737286500000000,74.12,77.24,73.91,75.97,1118864.337,1737286799999999,84637423.17646,87860,636403.808,48148074.81,0
1737286800000000,75.97,75.98,72.4,74.8,1064567.259,1737287099999999,79070402.36865,94029,473054.554,35154645.05497,0
1737287100000000,74.79,76.22,74.57,75.9,641279.827,1737287399999999,48464999.92305,57375,363661.206,27498511.9776,0
1737287400000000,75.89,76.62,73.21,73.77,653511.738,1737287699999999,49138039.98098,63980,289883.181,21822989.73369,0
1737287700000000,73.77,75.0,72.5,74.06,455215.563,1737287999999999,33726699.20006,46885,231092.615,17137225.79228,0
1737288000000000,74.06,75.0,70.5,73.29,768469.155,1737288299999999,56181619.12685,80445,359148.503,26321113.20569,0
1737288300000000,73.29,73.5,67.0,69.41,1109798.277,1737288599999999,77613627.9653,95786,464609.492,32441512.40181,0
1737288600000000,69.41,70.04,65.63,70.04,917664.606,1737288899999999,62736687.09009,80115,428744.529,29382654.31764,0
1737288900000000,70.03,71.39,67.65,68.22,851795.41,1737289199999999,59457498.85181,64512,399447.111,27969420.86936,0
1737289200000000,68.2,70.23,68.1,69.02,469324.937,1737289499999999,32533266.63949,40764,211756.706,14697383.92099,0
1737289500000000,69.03,72.5,69.0,71.34,629637.053,1737289799999999,44860895.89106,51413,378678.529,26989071.2244,0
1737289800000000,71.34,73.23,71.31,73.2,486906.75,1737290099999999,35415671.94098,45731,258017.068,18777448.63097,0
1737290100000000,73.21,73.22,70.6,70.98,434548.808,1737290399999999,31220039.97756,44118,185355.24,13323675.99657,0
1737290400000000,70.96,71.99,69.99,70.11,373992.328,1737290699999999,26559784.80261,43625,142749.333,10158602.63564,0
1737290700000000,70.13,70.75,68.69,69.4,425310.826,1737290999999999,29597518.90116,51434,188303.888,13113875.59985,0
1737291000000000,69.4,69.8,67.5,69.52,594019.943,1737291299999999,40778903.09733,62983,274044.419,18835344.38396,0
1737291300000000,69.51,70.65,69.0,69.41,384328.552,1737291599999999,26909743.97677,42723,200679.081,14062054.39505,0
1737291600000000,69.42,71.68,69.1,70.85,373430.761,1737291899999999,26387593.24611,51054,204006.15,14411882.44262,0
1737291900000000,70.86,72.2,70.15,72.16,403997.979,1737292199999999,28813503.76487,45392,250019.646,17847517.86774,0
1737292200000000,72.17,72.5,71.0,71.24,428750.861,1737292499999999,30765849.41352,45259,223106.178,16031324.6468,0
1737292500000000,71.24,73.3,71.2,72.79,425817.503,1737292799999999,30946422.99409,51261,258731.492,18807210.67737,0
1737292800000000,72.79,72.83,71.52,72.11,275509.727,1737293099999999,19899342.86905,39038,135000.915,9754464.46701,0
1737293100000000,72.1,72.45,71.47,72.2,234859.655,1737293399999999,16933894.53062,32291,111113.63,8015950.872,0
1737293400000000,72.2,72.3,70.02,70.19,343372.973,1737293699999999,24425374.63099,41188,137562.27,9784732.50921,0
1737293700000000,70.2,70.88,69.2,70.33,425131.667,1737293999999999,29830534.67947,49010,170466.403,11974397.26772,0
